subj,trial,block,practice,condition,sex,age,date,data_file,texture_id,stim_order,diameter,opening,spacing,response,rt
14,0,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial0_PRACTICE.csv,E047,0,140.0,140.0,280.0,False,24.126
14,0,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial0_PRACTICE.csv,E034,1,320.0,200.0,520.0,True,24.126
14,1,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial1_PRACTICE.csv,E021,0,560.0,200.0,760.0,False,12.69
14,1,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial1_PRACTICE.csv,E059,1,80.0,140.0,220.0,True,12.69
14,2,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial2_PRACTICE.csv,E061,0,80.0,170.0,250.0,False,1.216
14,2,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial2_PRACTICE.csv,E074(S39),1,110.0,50.0,160.0,True,1.216
14,3,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial3_PRACTICE.csv,E040,0,260.0,200.0,460.0,False,32.241
14,3,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial3_PRACTICE.csv,E081(S03),1,107.0,210.0,317.0,True,32.241
14,4,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial4_PRACTICE.csv,E077(S32),0,110.0,110.0,220.0,False,11.846
14,4,0,True,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block0_trial4_PRACTICE.csv,E063,1,80.0,200.0,280.0,True,11.846
14,0,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial0.csv,E080(S07),0,106.0,610.0,716.0,False,11.912
14,0,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial0.csv,E019,1,440.0,140.0,580.0,True,11.912
14,1,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial1.csv,E015,0,560.0,140.0,700.0,False,10.73
14,1,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial1.csv,E001,1,560.0,20.0,580.0,True,10.73
14,2,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial2.csv,E044,0,170.0,140.0,310.0,False,12.749
14,2,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial2.csv,E008,1,140.0,20.0,160.0,True,12.749
14,3,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial3.csv,E030,0,260.0,140.0,400.0,False,10.632
14,3,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial3.csv,E005,1,380.0,20.0,400.0,True,10.632
14,4,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial4.csv,E045,0,260.0,260.0,520.0,True,13.482
14,4,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial4.csv,E030,1,260.0,140.0,400.0,False,13.482
14,5,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial5.csv,E055,0,140.0,200.0,340.0,True,11.63
14,5,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial5.csv,E057,1,200.0,320.0,520.0,False,11.63
14,6,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial6.csv,E016,0,500.0,140.0,640.0,True,13.029
14,6,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial6.csv,E036,1,380.0,260.0,640.0,False,13.029
14,7,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial7.csv,E042,0,380.0,320.0,700.0,False,12.046
14,7,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial7.csv,E028,1,500.0,260.0,760.0,True,12.046
14,8,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial8.csv,E020,0,140.0,50.0,190.0,True,11.059
14,8,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial8.csv,E074(S39),1,110.0,50.0,160.0,False,11.059
14,9,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial9.csv,E056,0,110.0,170.0,280.0,False,14.363
14,9,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial9.csv,E049,1,80.0,80.0,160.0,True,14.363
14,10,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial10.csv,E048,0,170.0,170.0,340.0,False,12.749
14,10,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial10.csv,E056,1,110.0,170.0,280.0,True,12.749
14,11,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial11.csv,E017,0,170.0,50.0,220.0,True,11.695
14,11,1,False,soft,f,22,2022-11-21 08:55:01.557739,results/221121_08.55_data_subj14_block1_trial11.csv,E050,1,320.0,320.0,640.0,False,11.695
