subj,trial,block,practice,condition,sex,age,date,data_file,texture_id,stim_order,diameter,opening,spacing,response,rt
22,0,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial0_PRACTICE.csv,E083(S38),0,107.0,27.0,134.0,False,28.825
22,0,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial0_PRACTICE.csv,E052,1,260.0,320.0,580.0,True,28.825
22,1,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial1_PRACTICE.csv,E056,0,110.0,170.0,280.0,False,10.864
22,1,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial1_PRACTICE.csv,E031,1,140.0,80.0,220.0,True,10.864
22,2,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial2_PRACTICE.csv,E062,0,140.0,320.0,460.0,False,10.563
22,2,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial2_PRACTICE.csv,E001,1,560.0,20.0,580.0,True,10.563
22,3,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial3_PRACTICE.csv,E019,0,440.0,140.0,580.0,False,10.398
22,3,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial3_PRACTICE.csv,E021,1,560.0,200.0,760.0,True,10.398
22,4,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial4_PRACTICE.csv,E045,0,260.0,260.0,520.0,True,1.217
22,4,0,True,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block0_trial4_PRACTICE.csv,E064,1,50.0,140.0,190.0,False,1.217
22,0,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial0.csv,E069,0,20.0,140.0,160.0,False,9.413
22,0,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial0.csv,E016,1,500.0,140.0,640.0,True,9.413
22,1,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial1.csv,E056,0,110.0,170.0,280.0,True,8.826
22,1,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial1.csv,E081(S03),1,107.0,210.0,317.0,False,8.826
22,2,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial2.csv,E074(S39),0,110.0,50.0,160.0,True,8.697
22,2,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial2.csv,E015,1,560.0,140.0,700.0,False,8.697
22,3,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial3.csv,E024,0,500.0,200.0,700.0,False,8.746
22,3,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial3.csv,E073(S18),1,797.0,116.0,913.0,True,8.746
22,4,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial4.csv,E080(S07),0,106.0,610.0,716.0,True,8.732
22,4,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial4.csv,E053,1,110.0,140.0,250.0,False,8.732
22,5,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial5.csv,E002,0,500.0,20.0,520.0,True,7.9
22,5,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial5.csv,E024,1,500.0,200.0,700.0,False,7.9
22,6,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial6.csv,E068,0,20.0,80.0,100.0,True,8.814
22,6,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial6.csv,E071,1,20.0,260.0,280.0,False,8.814
22,7,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial7.csv,E005,0,380.0,20.0,400.0,True,8.232
22,7,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial7.csv,E082(S40),1,22.0,113.0,135.0,False,8.232
22,8,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial8.csv,E068,0,20.0,80.0,100.0,True,8.043
22,8,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial8.csv,E002,1,500.0,20.0,520.0,False,8.043
22,9,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial9.csv,E076(S43),0,50.0,50.0,100.0,True,7.731
22,9,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial9.csv,E014,1,320.0,80.0,400.0,False,7.731
22,10,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial10.csv,E059,0,80.0,140.0,220.0,True,7.931
22,10,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial10.csv,E066,1,50.0,170.0,220.0,False,7.931
22,11,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial11.csv,E042,0,380.0,320.0,700.0,True,7.998
22,11,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial11.csv,E030,1,260.0,140.0,400.0,False,7.998
22,12,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial12.csv,E046,0,200.0,200.0,400.0,True,7.629
22,12,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial12.csv,E051,1,140.0,170.0,310.0,False,7.629
22,13,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial13.csv,E017,0,170.0,50.0,220.0,True,8.363
22,13,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial13.csv,E038,1,110.0,80.0,190.0,False,8.363
22,14,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial14.csv,E070,0,20.0,200.0,220.0,True,8.013
22,14,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial14.csv,E040,1,260.0,200.0,460.0,False,8.013
22,15,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial15.csv,E062,0,140.0,320.0,460.0,True,8.258
22,15,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial15.csv,E021,1,560.0,200.0,760.0,False,8.258
22,16,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial16.csv,E067,0,80.0,320.0,400.0,True,8.58
22,16,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial16.csv,E010,1,500.0,80.0,580.0,False,8.58
22,17,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial17.csv,E060,0,140.0,260.0,400.0,True,8.614
22,17,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial17.csv,E055,1,140.0,200.0,340.0,False,8.614
22,18,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial18.csv,E055,0,140.0,200.0,340.0,True,8.93
22,18,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial18.csv,E060,1,140.0,260.0,400.0,False,8.93
22,19,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial19.csv,E033,0,80.0,50.0,130.0,True,9.0
22,19,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial19.csv,E046,1,200.0,200.0,400.0,False,9.0
22,20,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial20.csv,E001,0,560.0,20.0,580.0,True,8.599
22,20,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial20.csv,E074(S39),1,110.0,50.0,160.0,False,8.599
22,21,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial21.csv,E070,0,20.0,200.0,220.0,False,10.095
22,21,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial21.csv,E058,1,50.0,80.0,130.0,True,10.095
22,22,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial22.csv,E016,0,500.0,140.0,640.0,True,8.298
22,22,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial22.csv,E062,1,140.0,320.0,460.0,False,8.298
22,23,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial23.csv,E074(S39),0,110.0,50.0,160.0,True,8.83
22,23,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial23.csv,E040,1,260.0,200.0,460.0,False,8.83
22,24,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial24.csv,E058,0,50.0,80.0,130.0,True,8.631
22,24,1,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block1_trial24.csv,E075(S42),1,20.0,20.0,40.0,False,8.631
22,0,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial0.csv,E014,0,320.0,80.0,400.0,False,8.231
22,0,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial0.csv,E076(S43),1,50.0,50.0,100.0,True,8.231
22,1,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial1.csv,E069,0,20.0,140.0,160.0,False,11.45
22,1,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial1.csv,E062,1,140.0,320.0,460.0,True,11.45
22,2,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial2.csv,E050,0,320.0,320.0,640.0,True,9.079
22,2,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial2.csv,E080(S07),1,106.0,610.0,716.0,False,9.079
22,3,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial3.csv,E037,0,200.0,140.0,340.0,True,8.479
22,3,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial3.csv,E068,1,20.0,80.0,100.0,False,8.479
22,4,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial4.csv,E051,0,140.0,170.0,310.0,False,8.979
22,4,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial4.csv,E059,1,80.0,140.0,220.0,True,8.979
22,5,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial5.csv,E060,0,140.0,260.0,400.0,False,8.614
22,5,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial5.csv,E020,1,140.0,50.0,190.0,True,8.614
22,6,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial6.csv,E050,0,320.0,320.0,640.0,True,9.377
22,6,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial6.csv,E036,1,380.0,260.0,640.0,False,9.377
22,7,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial7.csv,E066,0,50.0,170.0,220.0,False,7.846
22,7,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial7.csv,E037,1,200.0,140.0,340.0,True,7.846
22,8,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial8.csv,E033,0,80.0,50.0,130.0,True,8.115
22,8,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial8.csv,E055,1,140.0,200.0,340.0,False,8.115
22,9,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial9.csv,E051,0,140.0,170.0,310.0,False,8.63
22,9,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial9.csv,E035,1,170.0,110.0,280.0,True,8.63
22,10,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial10.csv,E079(S41),0,50.0,110.0,160.0,True,8.898
22,10,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial10.csv,E052,1,260.0,320.0,580.0,False,8.898
22,11,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial11.csv,E034,0,320.0,200.0,520.0,False,10.013
22,11,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial11.csv,E024,1,500.0,200.0,700.0,True,10.013
22,12,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial12.csv,E080(S07),0,106.0,610.0,716.0,False,8.449
22,12,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial12.csv,E053,1,110.0,140.0,250.0,True,8.449
22,13,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial13.csv,E039,0,440.0,320.0,760.0,True,8.581
22,13,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial13.csv,E082(S40),1,22.0,113.0,135.0,False,8.581
22,14,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial14.csv,E083(S38),0,107.0,27.0,134.0,False,9.433
22,14,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial14.csv,E017,1,170.0,50.0,220.0,True,9.433
22,15,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial15.csv,E076(S43),0,50.0,50.0,100.0,True,9.928
22,15,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial15.csv,E057,1,200.0,320.0,520.0,False,9.928
22,16,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial16.csv,E076(S43),0,50.0,50.0,100.0,True,11.644
22,16,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial16.csv,E058,1,50.0,80.0,130.0,False,11.644
22,17,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial17.csv,E029,0,380.0,200.0,580.0,False,10.498
22,17,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial17.csv,E035,1,170.0,110.0,280.0,True,10.498
22,18,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial18.csv,E016,0,500.0,140.0,640.0,True,9.191
22,18,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial18.csv,E057,1,200.0,320.0,520.0,False,9.191
22,19,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial19.csv,E016,0,500.0,140.0,640.0,False,10.264
22,19,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial19.csv,E077(S32),1,110.0,110.0,220.0,True,10.264
22,20,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial20.csv,E049,0,80.0,80.0,160.0,True,9.53
22,20,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial20.csv,E065,1,80.0,260.0,340.0,False,9.53
22,21,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial21.csv,E001,0,560.0,20.0,580.0,True,8.482
22,21,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial21.csv,E030,1,260.0,140.0,400.0,False,8.482
22,22,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial22.csv,E061,0,80.0,170.0,250.0,True,10.159
22,22,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial22.csv,E053,1,110.0,140.0,250.0,False,10.159
22,23,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial23.csv,E069,0,20.0,140.0,160.0,False,8.581
22,23,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial23.csv,E047,1,140.0,140.0,280.0,True,8.581
22,24,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial24.csv,E054,0,200.0,260.0,460.0,False,9.297
22,24,2,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block2_trial24.csv,E048,1,170.0,170.0,340.0,True,9.297
22,0,3,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block3_trial0.csv,E006,0,260.0,20.0,280.0,True,7.898
22,0,3,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block3_trial0.csv,E052,1,260.0,320.0,580.0,False,7.898
22,1,3,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block3_trial1.csv,E061,0,80.0,170.0,250.0,False,11.179
22,1,3,False,soft,f,20,2022-11-24 13:36:09.530437,results/221124_13.36_data_subj22_block3_trial1.csv,E070,1,20.0,200.0,220.0,True,11.179
