subj,trial,block,practice,condition,sex,age,date,data_file,texture_id,stim_order,diameter,opening,spacing,response,rt
25,0,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial0_PRACTICE.csv,E071,0,20.0,260.0,280.0,False,19.077
25,0,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial0_PRACTICE.csv,E037,1,200.0,140.0,340.0,True,19.077
25,1,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial1_PRACTICE.csv,E015,0,560.0,140.0,700.0,False,9.95
25,1,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial1_PRACTICE.csv,E016,1,500.0,140.0,640.0,True,9.95
25,2,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial2_PRACTICE.csv,E025,0,320.0,140.0,460.0,True,9.264
25,2,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial2_PRACTICE.csv,E072,1,20.0,320.0,340.0,False,9.264
25,3,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial3_PRACTICE.csv,E039,0,440.0,320.0,760.0,True,1.612
25,3,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial3_PRACTICE.csv,E011,1,440.0,80.0,520.0,False,1.612
25,4,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial4_PRACTICE.csv,E050,0,320.0,320.0,640.0,True,0.715
25,4,0,True,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block0_trial4_PRACTICE.csv,E012,1,380.0,80.0,460.0,False,0.715
25,0,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial0.csv,E042,0,380.0,320.0,700.0,False,9.263
25,0,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial0.csv,E061,1,80.0,170.0,250.0,True,9.263
25,1,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial1.csv,E022,0,380.0,140.0,520.0,True,9.097
25,1,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial1.csv,E043,1,320.0,260.0,580.0,False,9.097
25,2,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial2.csv,E007,0,200.0,20.0,220.0,False,8.744
25,2,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial2.csv,E058,1,50.0,80.0,130.0,True,8.744
25,3,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial3.csv,E060,0,140.0,260.0,400.0,False,8.436
25,3,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial3.csv,E020,1,140.0,50.0,190.0,True,8.436
25,4,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial4.csv,E019,0,440.0,140.0,580.0,False,9.247
25,4,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial4.csv,E015,1,560.0,140.0,700.0,True,9.247
25,5,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial5.csv,E077(S32),0,110.0,110.0,220.0,True,9.428
25,5,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial5.csv,E060,1,140.0,260.0,400.0,False,9.428
25,6,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial6.csv,E076(S43),0,50.0,50.0,100.0,True,8.312
25,6,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial6.csv,E061,1,80.0,170.0,250.0,False,8.312
25,7,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial7.csv,E061,0,80.0,170.0,250.0,False,10.247
25,7,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial7.csv,E056,1,110.0,170.0,280.0,True,10.247
25,8,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial8.csv,E049,0,80.0,80.0,160.0,True,9.231
25,8,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial8.csv,E066,1,50.0,170.0,220.0,False,9.231
25,9,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial9.csv,E031,0,140.0,80.0,220.0,False,8.281
25,9,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial9.csv,E004,1,320.0,20.0,340.0,True,8.281
25,10,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial10.csv,E013,0,80.0,20.0,100.0,True,8.578
25,10,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial10.csv,E031,1,140.0,80.0,220.0,False,8.578
25,11,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial11.csv,E054,0,200.0,260.0,460.0,False,8.898
25,11,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial11.csv,E013,1,80.0,20.0,100.0,True,8.898
25,12,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial12.csv,E082(S40),0,22.0,113.0,135.0,False,9.064
25,12,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial12.csv,E051,1,140.0,170.0,310.0,True,9.064
25,13,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial13.csv,E074(S39),0,110.0,50.0,160.0,True,8.246
25,13,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial13.csv,E048,1,170.0,170.0,340.0,False,8.246
25,14,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial14.csv,E036,0,380.0,260.0,640.0,False,8.095
25,14,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial14.csv,E048,1,170.0,170.0,340.0,True,8.095
25,15,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial15.csv,E062,0,140.0,320.0,460.0,False,8.063
25,15,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial15.csv,E008,1,140.0,20.0,160.0,True,8.063
25,16,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial16.csv,E012,0,380.0,80.0,460.0,True,8.414
25,16,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial16.csv,E049,1,80.0,80.0,160.0,False,8.414
25,17,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial17.csv,E025,0,320.0,140.0,460.0,True,7.613
25,17,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial17.csv,E066,1,50.0,170.0,220.0,False,7.613
25,18,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial18.csv,E061,0,80.0,170.0,250.0,False,7.149
25,18,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial18.csv,E044,1,170.0,140.0,310.0,True,7.149
25,19,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial19.csv,E041,0,140.0,110.0,250.0,True,7.698
25,19,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial19.csv,E016,1,500.0,140.0,640.0,False,7.698
25,20,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial20.csv,E009,0,560.0,80.0,640.0,True,7.714
25,20,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial20.csv,E055,1,140.0,200.0,340.0,False,7.714
25,21,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial21.csv,E068,0,20.0,80.0,100.0,False,8.248
25,21,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial21.csv,E038,1,110.0,80.0,190.0,True,8.248
25,22,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial22.csv,E020,0,140.0,50.0,190.0,True,7.492
25,22,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial22.csv,E079(S41),1,50.0,110.0,160.0,False,7.492
25,23,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial23.csv,E039,0,440.0,320.0,760.0,False,7.73
25,23,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial23.csv,E012,1,380.0,80.0,460.0,True,7.73
25,24,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial24.csv,E030,0,260.0,140.0,400.0,False,7.298
25,24,1,False,soft,f,24,2022-11-25 10:30:59.896641,results/221125_10.30_data_subj25_block1_trial24.csv,E007,1,200.0,20.0,220.0,True,7.298
